"fis_code","humid","snow","air","weather_type","round_type","max_wind","avg_wind","min_wind","gate","counted_jumpers","all_jumpers","all_countries"
"2014JP3722RLT",26,NA,26.3,"sunny ","2nd round ",2.54,0.82,-0.28,18,70,70,17
"2014JP3722RLQ",31,NA,30.5,"sunny ","qualification ",2.27,1.05,-0.29,18,69,70,17
"2014JP3721RTRIA",37,NA,28.3,"sunny ","trial round ",1.17,0.58,0.17,20,49,49,13
"2014JP3721RL",55,NA,25.2,"sunny ","1st round ",0.19,-0.19,-0.46,23,50,50,13
"2014JP3721RL",66,NA,23.8,"clear ","final round ",-0.02,-0.28,-0.75,23,31,31,10
"2014JP3720RTRIA",27,NA,36.8,"sunny ","trial round ",1.51,0.66,0.04,0,44,44,11
"2014JP3720RL",48,NA,26,"sunny ","1st round ",0.18,-0.07,-0.31,22,44,44,11
"2014JP3720RL",54,NA,23.4,"sunny ","final round ",-0.01,-0.28,-0.58,24,32,32,8
"2014JP3717RTRIA",58,NA,24.1,"sunny ","trial round ",2.1,0.7,-0.58,17,49,49,15
"2014JP3717RL",64,NA,26.9,"partly cloudy ","1st round ",2.51,1.55,0.33,17,49,50,15
"2014JP3717RL",67,NA,24.1,"partly cloudy ","final round ",3.47,1.58,0.67,16,30,30,12
"2014JP3715RTRIA",36,NA,28.2,"sunny ","trial round ",2.81,1.23,-0.58,14,39,39,10
"2014JP3715RL",34,NA,29.1,"sunny ","1st round ",2.35,1.13,-0.3,26,40,40,10
"2014JP3715RL",39,NA,28.6,"sunny ","final round ",1.76,0.93,-0.57,27,32,32,8
"2014JP3714RTRIA",56,NA,25.7,"partly cloudy ","trial round ",0.19,-0.07,-0.4,30,43,43,12
"2014JP3714RLT",54,NA,27.4,"sunny ","1st round ",1.35,0.74,-0.31,27,33,33,11
"2014JP3714RLT",51,NA,26.9,"sunny ","2nd round ",1.89,0.93,-0.04,27,33,33,11
"2014JP3714RLT",50,NA,27.8,"sunny ","3rd round ",2.01,1.06,0.18,27,28,28,10
"2014JP3714RL",64,NA,23.9,"partly cloudy ","1st round ",0.01,-0.22,-0.51,31,45,45,12
"2014JP3714RL",71,NA,22.8,"clear ","final round ",-0.35,-0.48,-0.65,31,30,30,12
"2013JP3760RLT",64,NA,14.4,"partly cloudy ","1st round ",1.18,0.02,-0.84,24,71,71,17
"2013JP3760RLT",69,NA,13.8,"partly cloudy ","2nd round ",0.35,-0.35,-0.82,26,71,71,17
"2013JP3760RLQ",82,NA,11.3,"partly cloudy ","qualification ",0,-0.37,-0.7,28,70,70,17
"2013JP3759RTRIA",63,NA,15.3,"partly cloudy ","trial round ",2.4,0.15,-1.28,25,50,50,12
"2013JP3759RL",65,NA,14.9,"cloudy ","1st round ",1.56,0.25,-1,26,50,50,12
"2013JP3759RL",66,NA,14.6,"partly cloudy ","final round ",1.52,0.32,-0.58,27,30,30,9
"2013JP3758RLT",63,NA,20.5,"cloudy ","1st round ",0.97,0.49,0.11,12,70,70,17
"2013JP3758RLT",68,NA,19.1,"cloudy ","2nd round ",0.98,0.42,-0.43,12,70,70,17
"2013JP3758RLQ",77,NA,16.8,"overcast ","qualification ",0.5,-0.14,-0.54,12,69,69,17
"2013JP3757RTRIA",65,NA,18.2,"partly cloudy ","trial round ",2.64,1.48,0.51,8,49,49,14
"2013JP3757RL",65,NA,19.1,"partly cloudy ","1st round ",3.24,1.44,0.22,7,49,50,14
"2013JP3757RL",60,NA,18.7,"partly cloudy ","final round ",2.4,1.53,0.5,7,30,30,14
"2013JP3751RLT",34,NA,20.6,"cloudy ","1st round ",1.49,0.47,-0.16,18,41,41,12
"2013JP3751RLT",34,NA,20.7,"cloudy ","2nd round ",1.02,0.35,-0.52,19,46,46,13
"2013JP3751RLT",35,NA,18.6,"cloudy ","3rd round ",1.99,0.86,0.11,18,43,43,13
"2013JP3750RL",32,NA,21,"sunny ","final round ",2.27,0.91,-0.58,17,42,43,13
"2013JP3749RTRIA",39,NA,12.8,"sunny ","trial round ",1.58,0.73,-0.57,18,17,17,8
"2013JP3749RL",39,NA,13.4,"sunny ","1st round ",2.77,1.5,0.36,17,17,18,8
"2013JP3749RL",38,NA,14.4,"sunny ","final round ",1.87,0.88,-0.67,18,18,18,8
"2013JP3748RTRIA",33,NA,19.7,"partly cloudy ","trial round ",1.52,0.47,-0.64,19,46,46,13
"2013JP3748RL",34,NA,17.1,"clear ","1st round ",1.88,0.34,-0.43,19,46,46,13
"2013JP3748RL",37,NA,14.8,"clear ","final round ",0.18,-0.06,-0.19,19,28,30,11
"2013JP3747RTRIA",32,NA,19.9,"sunny ","trial round ",1.84,0.74,-0.25,18,18,18,8
"2013JP3747RLT",NA,NA,NA,NA,"1st round ",NA,NA,NA,19,17,17,8
"2013JP3747RLT",NA,NA,NA,NA,"2nd round ",NA,NA,NA,19,13,13,8
"2013JP3747RL",34,NA,19.1,"sunny ","1st round ",2.24,1.17,0.16,19,18,18,8
"2013JP3747RL",32,NA,20.3,"sunny ","final round ",1.99,0.72,0.03,19,18,18,8
"2013JP3733RLT",67,NA,27.3,"cloudy ","1st round ",1.73,0.02,-1.23,12,54,54,14
"2013JP3733RLT",70,NA,26.8,"cloudy ","2nd round ",0.72,0.06,-0.23,17,53,53,13
"2013JP3733RLQ",79,NA,25.7,"cloudy/rain ","qualification ",0.5,-0.12,-0.66,17,51,53,14
"2013JP3732RTRIA",39,NA,31.7,"sunny ","trial round ",1.86,0.38,-0.55,14,45,45,14
"2013JP3732RL",42,NA,31.5,"sunny ","1st round ",0.59,-0.16,-0.62,17,46,47,14
"2013JP3732RL",59,NA,29.9,"clear ","final round ",1.7,0.78,-0.57,14,30,30,13
